case_num,notes,cancer,med,organization,quantity,body part,gender,breed,condition
SL23-000433,"Abby, a 12 year old female spayed Cairn Terrier, was presented to the ACCRC on 3/6/23 for initial consultation regarding a liver mass and elevated liver enzymes. Received H-FIRE and had her tumor resected 3 days later. Recovered well and is due for restaging on August 2023.\r\n  HCC\r\n  Female\r\n  Cairn Terrier\r\n  Canine\r\n  Spayed",['tumor'],['H-FIRE'],['ACCRC'],,,['female'],['Cairn Terrier'],['liver mass']
SL23-000434,"A mass was removed from right thoracic body wall. Prior to surgery the mass was noted to grow quickly, within a month. Prior to surgery mild protein elevations were noted and elevated lymphocytes. The removed mass effect was noted to be two tumors a squamous cell carcinoma and an apocrine gland adenoma.\r\n  Squamous cell carcinoma\r\n  Female\r\n  German Shepherd Dog\r\n  Canine\r\n  Spayed","['tumors', 'squamous', 'cell carcinoma']",,,['two'],,,,['protein elevations']
SL23-000435,"Enlarged LNs, aspirated, cyto returned as lymphoma\r\n  LSA\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Intact",,,,,,,,"['aspirated', 'Intact']"
SL23-000440,The patient presented for hemoabdomen and splenic mass diagnosed on CT. Thorax was normal. No visual evidence of metastasis within the abdominal cavity.\r\n  Hemangiosarcoma\r\n  Male\r\n  German Shepherd Dog\r\n  Canine\r\n  Intact,,,,,,,,"['hemoabdomen', 'splenic mass', 'metastasis']"
SL23-000441,mass arose quickly according to E. Hx: STS grade 2 removed 10/24/22 What type of neoplasm is this?\r\n  poorly differentiated malignant neoplasm\r\n  Male\r\n  Newfoundland\r\n  Canine\r\n  Neutered,['neoplasm'],,['E. Hx'],,,,,
SL23-000443,"11-year-old FS labrador with splenic hemangiosarcoma, on doxorubicin-based chemotherapy q3 weeks.  No obvious evidence of metastasis at diagnosis and time of surgery.\r\n  Hemangiosarcoma\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed",['splenic hemangiosarcoma'],['doxorubicin-based chemotherapy'],,,,,['FS labrador'],['metastasis']
SL23-000444,"CD 21+ B-cell Lymphoma -CHOP therapy was provided from 10/26/19 - 3/26/20; Left anal sac adenocarcinoma- palladia 9/12/21-9/2022; Left thigh soft tissue sarcoma - progressive on palladia resected with clean margins. Carboplatin therapy was provided from 9/14/22 - 12/28/22 but due to PD on 1/25/23, mitoxantrone was started instead. Kona presented on 4/12/23 and a new mass on the left popliteal region was found to contain anal sac cancer metastasis on aspiration. Melphalan tx was started.\r\n  metastatic AGASACA\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered","['CD 21+ B-cell Lymphoma', 'Left thigh soft tissue sarcoma', 'anal sac cancer', 'metastasis']","['Carboplatin', 'mitoxantrone', 'Kona', 'Melphalan tx']",,,,,,"['progressive', 'clean margins', 'PD', 'aspiration', 'Neutered']"
SL23-000445,"Hx oral mass, mandibular lymph node enlargement, and multifocal and progressive pulmonary nodules. Previous cytology was suggestive of amelanotic melanoma (uploaded file from 5/10/23). Current cytology from 6/7/23 is pending with IDEXX.\r\n  melanoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered",['amelanotic melanoma'],,,,,,,"['Hx oral mass', 'mandibular lymph node enlargement', 'Neutered']"
SL23-000446,"Ulcerated osteosarcoma with necrosis, R sided - treated with palliative RT at UCD 5-6/2023, Carboplatin started 6/2023 Historical hyperparathyroidism 2020\r\n  Laryngeal OSA\r\n  Female\r\n  Great Dane\r\n  Canine\r\n  Spayed",['Ulcerated osteosarcoma'],"['palliative RT', 'Carboplatin']",['UCD'],,,,,"['necrosis', 'Historical hyperparathyroidism']"
SL23-000447,SPLENECTOMY FOR  UNCLEAR\r\n  UNCLEAR\r\n  Male\r\n  Australian Shepherd\r\n  Canine\r\n  Neutered,,,,,,,,['Neutered']
SL23-000450,See Attached\r\n  Lymphoma\r\n  Male\r\n  Mastiff\r\n  Canine\r\n  Neutered,,,,,,,,['Neutered']
SL23-000451,"History of PLE and SCC of the toe excised. Decreased appetite and slower. Chest rads showed mediastinal/mass in chest. CT showed ventral chest mass, pulmonary nodules, effusion and diffuse LN enlargement throughout chest. Asp of LN non diagnostic. Fluid suspicious for neoplasia.\r\n  Either blood cell cancer such as lymphoma or histiocytic versus mesothelioma\r\n  Male\r\n  Rottweiler\r\n  Canine\r\n  Neutered","['PLE', 'SCC', 'blood cell cancer', 'lymphoma', 'histiocytic']",,,,,,,"['pulmonary nodules', 'effusion', 'LN enlargement', 'LN', 'Neutered']"
SL23-000452,Sudden weakness and hemoabdomen. Suspected splenic hemangiosarcoma with IHC pending\r\n  Splenic hemangiosarcoma vs other sarcoma\r\n  Female\r\n  Pitbull\r\n  Canine\r\n  Spayed,"['splenic hemangiosarcoma', 'Splenic hemangiosarcoma']",,,,,,,['Sudden weakness']
SL23-000453,See attached medical record\r\n  Histiocytic sarcoma\r\n  Female\r\n  German Pinscher\r\n  Canine\r\n  Spayed\r\n,,,,,,,,
SL23-000455,No treatment at this time. has meets in lungs\r\n  metastatic melanoma\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Intact,,['treatment'],,,,,,
SL23-000456,Recent LSA diagnosis. Looking for additional Tx options.\r\n  Lymphoma 3A\r\n  Male\r\n  German Shepherd Dog\r\n  Canine\r\n  Neutered,,['Tx'],,,,,,
SL23-000457,"Presented for consultation regarding recent diagnosis of lingual malignant melanoma. Mass was marginally excised June 6th, 2023. Treatment plan will include radiation, melanoma vaccine, +/- appropriate targeted therapy based on vidium searchlight DNA.\r\n  Oral malignant melanoma of the tongue. Marginally excised. Mitotic index 8.\r\n  Male\r\n  Other\r\n  Canine\r\n  Neutered","['lingual malignant melanoma', 'Oral malignant melanoma']","['radiation', 'melanoma vaccine', 'targeted therapy']",,,,,,['Neutered']
SL23-000459,Tschuggen was diagnosed with lymphoma 2/6/23. Has been treated with CHOP protocol and came out remission last week - confirmed with cytology.  Feeling well.\r\n  Lymphoma\r\n  Male\r\n  Bernese Mountain Dog\r\n  Canine\r\n  Neutered,['lymphoma'],['CHOP protocol'],,,,,['Tschuggen'],
SL23-000460,"Hx of distended abdomen. US revealed a renal mass. Cytology consistent with neoplasia suspected epithelial in origin. Today, a CT scan performed, which showed no CT evidence of pulmonary metastatic disease. Mild sternal lymphadenopathy. Likely reactive or neoplastic infiltration secondary to cranial abdominal disease. Large, lobular, heterogeneous mass lesion of the left kidney. No residual renal anatomy persists. Performed a L nephrectomy  splenectomy due to the omental adhesions\r\n  Nephroblastoma\r\n  Female\r\n  Wirehaired Pointing Griffon\r\n  Canine\r\n  Spayed",['pulmonary metastatic disease'],,,,,,,"['renal mass', 'neoplasia', 'sternal lymphadenopathy', 'neoplastic infiltration', 'cranial abdominal disease']"
SL23-000589,On 13.4.2023 after a visit a small nodule was discovered on Connie between the right side lateral 7-8 intercostal space. After lung lobectomy in 2022 Connie received systemic therapy with doxorubicin and lomustin which was not tolerated well due to myelosuppression and sepsis. In September 2022 Connie underwent a full body CT to rule out mets and subsequent lung lobectomy of the affected mass. From the end of September she has been on chlorambucil 6mg every other day.\r\n  Pulmonary histiocytic sarcoma\r\n  Female\r\n  Bernese Mountain Dog\r\n  Canine\r\n  Spayed,['nodule'],"['doxorubicin', 'lomustin', 'chlorambucil']",,['6mg'],,"['Connie', 'Connie', 'Connie', 'Spayed']",,"['myelosuppression', 'sepsis', 'mets']"
SL23-000464,"Recent surgical mass removal revealed evidence of suspected T-cell lymphoma diagnosed via histopath, with multiple opinions\r\n  Suspected T-cell lymphoma\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Neutered",['T-cell lymphoma'],['histopath'],,,,,,['Neutered']
SL23-000465,"Spike is a 13-year-old FS boxer presenting for consultation regarding her recent diagnosis of splenic hemangiosarcoma.  She initially presented on 5/23/23 through PESCM ER for dyspnea, weakness, and pale gums.  Workup revealed a hemoabdomen, splenic mass on AUS, and no obvious metastatic disease on pulmonary radiographs.  Splenectomy and liver biopsy were performed; histopathology was consistent with splenic hemangiosarcoma with no evidence of   metastasis to the liver.\r\n  Hemangiosarcoma\r\n  Female\r\n  Boxer\r\n  Canine\r\n  Spayed","['splenic hemangiosarcoma', 'splenic hemangiosarcoma']",,"['PESCM ER', 'AUS']",,,['Spayed'],['FS boxer'],"['dyspnea', 'weakness', 'pale gums', 'metastasis']"
SL23-000466,"Cytology (6/9/23): R medial liver lobe: Carcinoma with neuroendocrine-like appearance. 1) Ascites 2) Hepatic mass effect 3) Decreased appetite 4) Anemia, progressive 5) Generalized muscle mass loss  Soft tissue opacity at heart base area - rule out tracheobronchial LN enlargement versus L atrial enlargement\r\n  R medial liver lobe: Carcinoma with neuroendocrine-like appearance.\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Intact","['Carcinoma', 'LN enlargement', 'Carcinoma']",['Ascites'],,,,,,"['Hepatic mass effect', 'Decreased appetite', 'Anemia', 'Generalized muscle mass loss', 'Soft tissue opacity']"
SL23-000467,please see attached histo report and form for patient history.\r\n  possible metastatic carcinoma vs neuroendo cribe carcinoma\r\n  Female\r\n  Nova Scotia Duck Tolling Retriever\r\n  Canine\r\n  Spayed,['metastatic carcinoma'],,,,,,,
SL23-000468,"History of cutaneous melanoma on the dorsum removed 2019. Recently about 2 cm mass on dorsum that ruptured and removed. Histology found poorly differentiated sarcoma. Abdominal ultrasound found enlarged iliac lymph nodes (1.8-1.7 cm) concerning for metastasis. Also history of cutaneous squamous cell carcinoma and low grade mast cell tumor removed 2019, 2020.\r\n  Undifferentiated sarcoma\r\n  Male\r\n  Miniature Schnauzer\r\n  Canine\r\n  Neutered","['cutaneous melanoma', 'sarcoma', 'cutaneous squamous cell carcinoma', 'low grade mast cell tumor']",,,,,,,"['metastasis', 'Neutered']"
SL23-000469,Spayed at age 5 in 2022; two surgeries for mammary carcinoma since then; nodal mets noted at both times\r\n  Mammary carcinoma with nodal metastasis; trying to get ideas for chemo\r\n  Female\r\n  Yorkshire Terrier\r\n  Canine\r\n  Spayed,"['mammary carcinoma', 'Mammary carcinoma']",,,['two'],,,['Spayed'],"['nodal mets', 'nodal metastasis']"
SL23-000470,"5/16/23- Presented to rDVM for swelling of the right muzzle, right mandibular LN enlarged at this time, cytology suspicious to metastatic neoplasia. CBC WNL 6/1/23: Biopsy of lymph node  removal of new mass on right inner thigh- Poorly differentiated neoplasia mitotic count 50/10 HPF.6/14/23: Full body CT showed  bone lysis or the or the right maxilla, mass behind the right eye, nodule in lung, liver, spleen and multiple enlarge abdominal LN.\r\n  Histiocytic sarcoma VS aggressive STS VS. other\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Intact","['metastatic neoplasia', 'Histiocytic sarcoma', 'STS']",,"['rDVM', 'CBC WNL']",,,,,"['mass', 'Intact']"
SL23-000471,"History of arthritis. Mass removal performed 3/19/23.  Histopathology revealed melanoma. Initial staging performed April 4th - unremarkable.  Targeted therapy and melanoma vaccine started.  Patient doing well clinically but on May 2nd, his left mandibular LN was enlarged at 2.5cm.  At recheck exam on June 6th, LN was noted to be larger at 3.5cm.\r\n  Melanoma\r\n  Male\r\n  Siberian Husky\r\n  Canine\r\n  Neutered","['melanoma', 'melanoma']",['Targeted therapy'],,,,,,['arthritis']
SL23-000474,"Leiomysosarcoma of the jejunum with mesenteric lymph node metastasis, completely excised 1/3/23; doxorubicin completed 5/15/23\r\n  Leiomyosarcoma\r\n  Male\r\n  Poodle (Standard)\r\n  Canine\r\n  Neutered",['Leiomysosarcoma'],['doxorubicin'],,,,,['Poodle'],"['mesenteric lymph node metastasis', 'Neutered']"
SL23-000475,Patient has C-cell thyroid carcinoma. Underwent sx for thyroidectomy and lymphadenectomy. Post op IMRT\r\n  C-cell thyroid carcinoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,['C-cell thyroid carcinoma'],,,,,,,['Neutered']
SL23-000476,Metastatic mast cell tumor. MCT recurred at surgery site on ventral abdomen - metastasis confirmed to skin (multiple skin lesions) and liver by aspirate/ cytology. Sample collected from recurrent mass on ventral abdomen.\r\n  Metastatic mast cell tumor (stage V - visceral metastasis to liver confirmed).\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed,"['Metastatic mast cell tumor', 'MCT', 'Metastatic mast cell tumor', 'visceral metastasis']",,,,,,,"['metastasis', 'recurrent mass', 'stage V']"
SL23-000477,"cutaneous lymphoma, treated with CCNU q 3 weeks since end of March, achieved a CR but now lymphoma is reemergent.   Need searchlight to assist in drug selection\r\n  Cutaneous Lymphoma\r\n  Male\r\n  Cardigan Welsh Corgi\r\n  Canine\r\n  Neutered","['cutaneous lymphoma', 'lymphoma']",['CCNU'],,,,,,"['CR', 'reemergent']"
SL23-000480,"Socks, a 8y 8m F: S Shih Tzu, presented to VCA West Coast Medical Oncology for evaluation following surgical excision of a cutaneous malignant melanoma with digital and forelimb extension.\r\n  Left axillary and prescapular lymphadenectomy (24-May-2023), * left forelimb amputation for malignant melanoma with extensive cutaneous and digital involvement. (24-May-2023)\r\n  Female\r\n  Shih Tzu\r\n  Canine\r\n  Spayed","['cutaneous malignant melanoma', 'malignant melanoma']",,['VCA West Coast Medical Oncology'],,,,"['Socks', 'Shih Tzu']","['cutaneous', 'digital involvement']"
SL23-000482,"Splenectomy 4/26/23 that came back as stromal sarcoma - confirmed with IHC\r\n  stromal sarcoma, high grade\r\n  Female\r\n  Pitbull Mix\r\n  Canine\r\n  Spayed","['stromal sarcoma', 'stromal sarcoma']",,,,,,,
SL23-000483,History of Stage II Splenic hemangiosarcoma\r\n  Splenic hemangiosarcoma\r\n  Male\r\n  German Shepherd Dog\r\n  Canine\r\n  Neutered,['Stage II'],,,,,,,['Neutered']
SL23-000484,cutaneous lymphoma diagnosed April 2023. received and failed Prednisone and Lomustine. Active skin lesion removed 6/19 and submited to Torigen for tumor vaccine. Torigen has part of tumor in formalin to be used for Vidium DNA analysis\r\n  cutaneous lymphoma\r\n  Female\r\n  Beagle\r\n  Canine\r\n  Spayed,['cutaneous lymphoma'],"['Prednisone', 'Lomustine', 'Torigen', 'Torigen', 'formalin']",,,,,['Spayed'],['skin lesion']
SL23-000486,"Squamous Cell Carcinoma (suspected left tonsillar). Incisional biopsy consistent with squamous cell carcinoma - 2/9/23 (report attached). Palliative radiation therapy (4fx x 8Gy) completed 3/3/2023. Failed Carboplatin/5-Fluorouracil. Progressive clinical signs, relatively stable disease on CT 5/30/23, repeated palliative radiation. Note - this biopsy is NEW (not from Feb)\r\n  SCC\r\n  Male\r\n  Beagle\r\n  Canine\r\n  Neutered\r\n","['Squamous Cell Carcinoma', 'squamous cell carcinoma']",['palliative radiation'],,['4fx x 8Gy'],,,,
SL23-000485,"Gastric tumor (2 cm): vomiting, nausea and mild pain. Gastric adenocarcinoma on endoscopic biopsy.\r\n  Gastric adenocarcinoma\r\n  Female\r\n  Cavalier King Charles Spaniel\r\n  Canine\r\n  Spayed","['Gastric tumor', 'Gastric adenocarcinoma']",,,['2 cm'],,,,"['vomiting', 'nausea', 'pain']"
SL23-000488,"Oliver presented to the ER 5/29/23 dx with a hemoabd. had a splenectomy, histopathology consistent with HSA. No obvious lesions intra-op liver was bx during surgery. Family is looking for targeted therapy options\r\n  Splenic HSA\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Intact\r\n",['HSA'],['targeted therapy'],"['ER', 'Family']",,,['Oliver'],['Golden'],"['hemoabd', 'lesions']"
SL23-000489,"Patient has thickening of anus and rectum. Biopsy obtained from two sites. A) Proliferative tissue at dorsal aspect of the rectum. B) Subcutaneous fibrous tissue on right lateral aspect of the rectum.\r\n  MUCINOUS CARCINOMA, INFILTRATIVE.\r\n  Female\r\n  Bernese Mountain Dog\r\n  Canine\r\n  Spayed",,,,,,['Spayed'],,['MUCINOUS CARCINOMA']
SL23-000490,"Presented to rDVM lethargy and painful, radiographs suspicious for splenic mass. Ex lap performed on 6/3; hemoabdomen present splenectomy and liver biopsy collected. Histo on- spleen HSA; Histo on liver biopsy-hepatic nodular hyperplasia. Abdominal ultrasound on 6/22 revealed cranial abdominal mass- presumed metastatic disease.\r\n  Splenic Hemangiosarcoma\r\n  Male\r\n  Japanese Chin\r\n  Canine\r\n  Neutered",,,,,,,,"['lethargy', 'splenic mass', 'Neutered']"
SL23-000493,History of right sided AGASACA with metastasis to the sub-lumbar lymph nodes and lungs. Patient has some liver changes which could be benign or malignant. On Palladia.\r\n  AGASACA\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Spayed,['AGASACA'],,,,,,,"['metastasis', 'benign', 'malignant']"
SL23-000494,Mast cell tumor. Toriben vax\r\n  Mast cell tumor\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Intact,['Mast cell tumor'],,,,,,,
SL23-000497,OSA LPL (tibial fracture)\r\n  OSA\r\n  Female\r\n  German Shepherd Dog\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000498,"rescue pup with amputation secondary to necrotic wound.  Adopted 6 months later hepatic mass noted.  FNA/Tr cut biopsy - hepatocelluar carcinoma.  Owner was told was diffuse hepatocellular carcinoma.  However biopsies showed one large lobe is massive well differentiated hepatocellular carcinoma and the quadrate lobe and hepatic node regeneration, lipidosis and inflammatory.  Pet is young for this tumor.\r\n  massive hepatocellular carcinoma - well differentiated/low grade. hepatic nodular hyperplasia, mild hepatic lipidosis - bx of other lobe. reactive hepatic lymph node\r\n  Female\r\n  Siberian Husky\r\n  Canine\r\n  Spayed","['hepatocelluar carcinoma', 'diffuse hepatocellular carcinoma', 'hepatocellular carcinoma', 'hepatocellular carcinoma']",,,,,,"['rescue pup', 'Pet']","['amputation', 'necrotic wound', 'hepatic mass', 'lipidosis', 'inflammatory', 'hepatic nodular hyperplasia', 'hepatic lipidosis']"
SL23-000499,Massive tumor arising from scapula. Incisional biopsy consist with osteosarcoma. Submitted sample for Vidium was obtained during amputation performed today. No evidence of metastasis.\r\n  Osteosarcoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed,['osteosarcoma'],,,,,,,
SL23-000500,"Osteosarcoma - right proximal humerus; CXR 17NOV2022; amputation 22DEC2022; CXR 13JAN2023, start CAR; CXR 24FEB2023; PD (CXR) 19APR2023, start DOX; mild PD (CXR) 25MAY2023, cont DOX; significant PD (lungs) 22JUN2023, plan to start TOC.  Question:  therapeutic targets?\r\n  Osteosarcoma\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed",['Osteosarcoma'],"['CAR', 'TOC', 'therapeutic']",,,,,,
SL23-000504,"subungual melanoma  chest xray nsf, prescap lymph node not large but will get fna at next visit, recommended dacvim (o) for melanoma vaccine and this test as backstop\r\n  Subungual malignant melanoma\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed",['subungual melanoma'],"['dacvim (o)', 'melanoma vaccine']",,,,['Spayed'],,
SL23-000506,Site number two\r\n  AGASACA\r\n  Male\r\n  Boxer\r\n  Canine\r\n  Neutered,,,,,,,,['Neutered']
SL23-000507,intestinal mass surgery revealed adenocarcinoma with metastasis to regional lymph node. also has hx of subcutaneous hemangiosarcoma.\r\n  adenocarcinoma with metastasis to regional lymph node\r\n  Female\r\n  Australian Shepherd\r\n  Canine\r\n  Spayed,"['adenocarcinoma', 'metastasis', 'adenocarcinoma']",,,,,,,['metastasis']
SL23-000508,Pet is on cyclophosphamide\r\n  soft tissue sarcoma\r\n  Male\r\n  Pomeranian\r\n  Canine\r\n  Neutered,,,,,,,['Pet'],['Neutered']
SL23-000511,Not on any chemo\r\n  TCC\r\n  Male\r\n  Rhodesian Ridgeback\r\n  Canine\r\n  Neutered,,,,,,,,['Neutered']
SL23-000513,"Patient had acute anemia develop with no overt clinical signs, found to have an intestinal mass bleeding into the GI tract.  Taken to surgery to remove the mass on emergency basis and received transfusion.  Was consistent with a sarcoma but negative for c-kit\r\n  Visceral sarcoma not consistent with GIST\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered","['sarcoma', 'Visceral sarcoma']",['transfusion'],,,,,,"['acute anemia', 'Neutered']"
SL23-000514,Radiation\r\n  Hard Palate Tumor\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000516,Swollen submandibular ln found and treated with antibiotics. Resolved but 2 week recheck LN were enlarged again and worsening.  She is eating well and drinking normally.  No vomiting/diarrhea.  Swelling and LN are getting worse.\r\n  Lymphoma\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Spayed,,['antibiotics'],,,,['Spayed'],,"['vomiting', 'diarrhea', 'Swelling']"
SL23-000517,"AGASACA, stage IIIA, Hyperkalzaemia, after surgery with Palladia stabil\r\n  Anal sac carcinoma\r\n  Female\r\n  Rhodesian Ridgeback\r\n  Canine\r\n  Intact",['AGASACA'],,,,,,,"['stage IIIA', 'Hyperkalzaemia', 'Intact']"
SL23-000518,"Multiple cutaneous mast cells on lateral hind leg, not a surgical candidate, stage clear of disease distantly.   Started Vinblastine/toceranib combination in July 2022, completed 10 doses of vinblastine and continued toceranib until March 2023 with a complete response.   Developed new MCT on the other hind leg and now has a local recurrence of the primary\r\n  Mast cell tumor\r\n  Female\r\n  Australian Cattle Dog\r\n  Canine\r\n  Spayed",['MCT'],"['Vinblastine', 'toceranib', 'vinblastine', 'toceranib']",,['10 doses'],,,,"['disease', 'local recurrence']"
SL23-000523,"Neuroendocrine carcinoma likely arising from the lobar bronchus of the right cranial lung lobe, at the level of the hilus, was removed in early June 2023 with marginal excision, no obvious metastasis on staging.\r\n  Neuroendocrine carcinoma, likely bronchial origin at right cranial lung lobe hilus\r\n  Female\r\n  Goldendoodle\r\n  Canine\r\n  Spayed","['Neuroendocrine carcinoma', 'Neuroendocrine carcinoma']",,,,,,,['metastasis']
SL23-000525,See attached History\r\n  See attached History.\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,,,,,,,,['Neutered']
SL23-000526,Adopted 3 years ago. June 2022 had a mass on left lower lip. Removed and submitted for histopath through rDVM (and sent to Iowa State). Amelanotic melanoma diagnosed with IHC. CT showed pulmonary nodules. Received Melanoma vaccine and Carboplatin. Recurrence of the mass January 2023. Mass was removed.Not submitted. Presented in May 2023 to Oncology and started metronomic chemotherapy. 1 week ago presented for recheck and has recurrence of the mass on left lower lip. To start Temozolamide.\r\n  Amelanotic melanoma\r\n  Male\r\n  English Springer Spaniel\r\n  Canine\r\n  Neutered\r\n,['Amelanotic melanoma'],"['Melanoma vaccine', 'Carboplatin', 'metronomic chemotherapy', 'Amelanotic']","['Iowa State', 'Oncology']",,,,,"['pulmonary nodules', 'mass', 'recurrence', 'mass']"
SL23-000531,Patient was diagnosed with oral melanoma. Mass was removed from right buccal aspect of the mouth near #107. Oral Melanoma Male Labrador Retriever Canine Neutered,"['oral melanoma', 'Oral Melanoma']",,,,,['Male'],['Labrador Retriever'],
SL23-000532,"Jan 2022 mass grew fast on left abdomen. Removed as STS grade 3. Radiation then Doxorubicin. Progression in April, treated with CCNU, progression in May, did RT again and switched to Carboplatin. Has open wound at site right now- very large firm mass with 2 ulcerated areas (progression vs RT side effects).\r\n  Poorly differentiated sarcoma/grade 3 STS\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Neutered","['STS', 'Poorly differentiated sarcoma']","['Doxorubicin', 'CCNU', 'Carboplatin']",,['2'],,,,"['progression', 'open wound', 'progression', 'Neutered']"
SL23-000533,"History of possible reactive histiocytosis (vs. non epitheliotropic LSA) of the skin.  Recently developed left fourth and fifth mammary gland masses.\r\n  High grade mammary carcinoma, anaplastic subtype\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Spayed",['mammary carcinoma'],,,,,['Spayed'],,['reactive histiocytosis']
SL23-000554,Biopsy-proven oral melanoma turned into STS on excisional histopath excised today with curative intent by way of lateral maxillectomy\r\n  Male\r\n  Poodle (Standard)\r\n  Canine\r\n  Neutered,"['oral melanoma', 'STS']",,,,,,['Poodle'],['Neutered']
SL23-000534,NO cancer treatment at this time\r\n  squamous cell carcinoma\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Intact,,['NO cancer treatment'],,,,,,
SL23-000538,"History of functional pituitary macroadenoma and incidental heterogenous splenic mass. Splenectomy performed on 6/15/23 histopath consistent with pleomorphic cells with lymphoma and mast cell and eosinophil infiltration. Ckit negative, CD3 negative, pending IBA1\r\n  Pleomorphic cells (presumed cancer)\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered","['pituitary macroadenoma', 'lymphoma', 'Pleomorphic cells']",,,,,,,"['eosinophil infiltration', 'Neutered']"
SL23-000539,Spleen Tumor\r\n  Hemangiosarcoma\r\n  Male\r\n  German Shepherd Dog\r\n  Canine\r\n  Intact,['Intact'],,,,,,,
SL23-000540,Adrenal gland tumor\r\n  suspicious for Pheochromocytoma\r\n  Female\r\n  Unknown\r\n  Canine\r\n  Intact,,,,,,,,['Intact']
SL23-000544,"Had an oral melanoma removed Dec 2021, developed pulmonary metastasis Jan 2023, has received the melanoma vaccine, doxorubicin and IL-15, and carbo and is now in a rapamycin clinical trial.\r\n  metastatic melanoma\r\n  Female\r\n  Labradoodle\r\n  Canine\r\n  Spayed","['oral melanoma', 'pulmonary metastasis']","['melanoma vaccine', 'doxorubicin', 'IL-15', 'carbo', 'rapamycin']",,,,['Spayed'],,
SL23-000546,Pet has T-cell CD4+ lymphoma originally diagnosed in 28/Nov/22. Treated with CHOP and completed it on 7/Mar/23. Received autologous bone marrow transplant in 12/Apr/23. Came out of remission on 20/May/23. Restarted CHOP in 22/May/23 and pet is now out of remission again. Looking for chemo options to combine with conventional.\r\n  Lymphoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,['T-cell CD4+ lymphoma'],"['CHOP', 'autologous bone marrow transplant', 'CHOP', 'chemo']",,,,,"['Pet', 'pet']",['remission']
SL23-000549,"Relapsed lymphoma previously treated with l-asparaginase, cytarabine, vincristine, cyclophosphamide, tanovea, CCNU, vinblastine, procarbazine.  Was originally diagnosed one year ago with multicentric lymphoma with ocular involvement.  Please evaluate genomics to see if other treatments are available\r\n  Lymphoma\r\n  Female\r\n  Labradoodle\r\n  Canine\r\n  Spayed","['Relapsed lymphoma', 'multicentric lymphoma']","['l-asparaginase', 'cytarabine', 'vincristine', 'cyclophosphamide', 'tanovea', 'CCNU', 'vinblastine', 'procarbazine', 'treatments']",,,,,,['ocular involvement']
SL23-000551,"Neo Presented back on 6/20/23 for a CT scan and Biopsy and culture of the TMJ, based on those diagnostics we noted that Neo has an aggressive osseous lesion involving the right mandible at the temporomandibular joint may be secondary to neoplasia (osteosarcoma, chondrosarcoma, synovial sarcoma, myxosarcoma) or less likelyosteomyelitis (bacterial versus fungal). His biopsy shows that he has aMalignant neoplasia, favor poorly differentiated sarcoma. Since we are unsure of what type of Sarcoma he\r\n  Malignant neoplasia, favor poorly differentiated sarcoma\r\n  Male\r\n  Pitbull Mix\r\n  Canine\r\n  Neutered","['osteosarcoma', 'chondrosarcoma', 'synovial sarcoma', 'myxosarcoma', 'sarcoma', 'Sarcoma', 'neoplasia']",,,,,,,"['osseous lesion', 'neoplasia']"
SL23-000552,"Epistaxis for one month, swelling under right eye.  CT showed large right sided destructive sinonasal mass.  Only very brief response to radiation.\r\n  Poorly differentiated neoplasia, suspected carcinoma\r\n  Female\r\n  Mastiff\r\n  Canine\r\n  Spayed",,['CT'],,,,,,"['Epistaxis', 'sinonasal mass', 'neoplasia']"
SL23-000553,6 surgeries for a spindle cell tumor on right flank\r\n  spindle cell malignancy\r\n  Male\r\n  Goldendoodle\r\n  Canine\r\n  Neutered\r\n,['spindle cell tumor'],,,['6'],,,,
